experiment,strain,series,image,cell,first,second,mitos,cell.cycle,notes
exp012016,CMY178-30C,1,147,cell1,1,6,c,,
exp012016,CMY178-30C,1,148,cell1,2,8,c,,
exp012016,CMY178-30C,1,149,cell1,2,7,c,,
exp012016,CMY178-30C,1,150,cell1,2,8,t,,
exp012016,CMY178-30C,1,151,cell1,5,9,tc,,
exp012016,CMY178-37C,1,1,cell1,3,7,c,,
exp012016,CMY178-37C,1,2,cell1,1,1,n,,
exp012016,CMY178-37C,1,3,cell1,1,1,tc,,
exp012016,CMY178-37C,1,3,cell2,1,2,c,,
exp012016,CMY178-37C,1,4,cell1,1,1,n,,
exp012016,CMY178-37C,1,5,cell1,8,10,n,,
exp012016,CMY178-37C,1,5,cell2,1,1,n,,
exp012016,CMY178-37C,1,5,cell3,1,1,n,,
exp012016,CMY178-37C,1,6,cell1,4,5,n,,
exp012016,CMY178-37C,1,6,cell2,1,1,n,,
exp012016,CMY178-37C,1,7,cell1,2,2,c,,
exp012016,CMY178-37C,1,8,cell1,15,16,n,,
exp012016,CMY178-37C,1,9,cell1,3,6,c,,
exp012016,CMY178-37C,1,10,cell1,11,14,c,,
exp012016,CMY178-37C,1,10,cell2,1,1,n,,
exp012016,CMY178-37C,1,11,cell1,4,9,c,,
exp012016,CMY178-37C,1,12,cell1,1,1,n,,
exp012016,CMY178-37C,1,13,cell1,7,11,tc,,
exp012016,CMY178-37C,1,13,cell2,1,3,c,,
exp012016,CMY178-37C,1,14,cell1,1,1,n,,
exp012016,CMY178-37C,1,15,cell1,5,9,c,,
exp012016,CMY178-37C,1,16,cell1,10,14,c,,
exp012016,CMY178-37C,1,17,cell1,17,22,NA,,
exp012016,CMY178-37C,1,17,cell2,1,2,n,,
exp012016,CMY178-37C,1,17,cell3,1,1,n,,
exp012016,CMY178-37C,1,19,cell1,5,8,c,,
exp012016,CMY178-37C,1,20,cell1,1,1,n,,
exp012016,CMY178-37C,1,21,cell1,1,1,n,,
exp012016,CMY178-37C,1,22,cell1,1,1,c,,
exp012016,CMY178-37C,1,23,cell1,5,11,c,,
exp012016,CMY178-37C,1,24,cell1,3,4,c,,
exp012016,CMY178-37C,1,25,cell1,4,8,c,,
exp012016,CMY178-37C,1,26,cell1,3,6,c,,
exp012016,CMY178-37C,1,27,cell1,5,10,c,,
exp012016,CMY178-37C,1,28,cell1,1,8,c,,
exp012016,CMY178-37C,1,29,cell1,1,1,c,,
exp012016,CMY178-37C,1,30,cell1,11,14,c,,
exp012016,CMY178-37C,1,31,cell1,6,10,c,,
exp012016,CMY178-37C,1,31,cell2,1,1,n,,
exp012016,CMY178-37C,1,32,cell1,1,1,c,,
exp012016,CMY178-37C,1,33,cell1,14,19,c,,
exp012016,CMY178-37C,1,34,cell1,1,1,n,,
exp012016,CMY178-37C,1,35,cell1,1,1,n,,
exp012016,CMY178-37C,1,36,cell1,1,1,n,,
exp012016,CMY178-37C,1,36,cell2,1,1,c,,
exp012016,CMY178-37C,1,37,cell1,6,7,c,,
exp012016,CMY178-37C,1,38,cell1,1,2,c,,
exp012016,CMY178-37C,1,39,cell1,1,1,c,,
exp012016,CMY178-37C,1,40,cell1,4,7,c,,
exp012016,CMY178-37C,1,41,cell1,1,1,n,,
exp012016,CMY178-37C,1,42,cell1,1,1,n,,
exp012016,CMY178-37C,1,42,cell2,1,1,n,,
exp012016,CMY178-37C,1,43,cell1,1,1,n,,
exp012016,CMY178-37C,1,44,cell1,10,13,c,,
exp012016,CMY178-37C,1,45,cell1,1,1,n,,
exp012016,CMY178-37C,1,45,cell2,1,1,n,,
exp012016,CMY178-37C,1,47,cell1,2,5,c,,
exp012016,CMY178-37C,1,48,cell1,1,1,n,,
exp012016,CMY178-37C,1,48,cell2,1,1,n,,
exp012016,CMY178-37C,1,49,cell1,1,1,n,,
exp012016,CMY178-37C,1,50,cell1,1,1,n,,
exp012016,CMY178-37C,1,51,cell1,1,1,n,,
exp012016,CMY178-37C,1,52,cell1,1,1,c,,
exp012016,CMY178-37C,1,53,cell1,1,1,n,,
exp012016,CMY178-37C,1,54,cell1,7,9,tc,,
exp012016,CMY178-37C,1,55,cell1,5,6,n,,
exp012016,CMY178-37C,1,56,cell1,2,3,c,,
exp012016,CMY178-37C,1,57,cell1,1,1,n,,
exp012016,CMY178-37C,1,58,cell1,1,1,n,,
exp012016,CMY178-37C,1,59,cell1,1,1,n,,
exp012016,CMY178-37C,1,60,cell1,1,1,n,,
exp012016,CMY178-37C,1,61,cell1,1,1,n,,
exp012016,CMY178-37C,1,62,cell1,13,17,c,,
exp012016,CMY178-37C,1,63,cell1,1,1,n,,
exp012016,CMY178-37C,1,64,cell1,1,1,n,,
exp012016,CMY178-37C,1,65,cell1,1,1,n,,
exp012016,CMY178-37C,1,66,cell1,1,1,n,,
exp012016,CMY178-37C,1,67,cell1,4,9,c,,
exp012016,CMY178-37C,1,68,cell1,1,1,n,,
exp012016,CMY178-37C,1,69,cell1,12,17,c,,
exp012016,CMY178-37C,1,70,cell1,1,1,c,,
exp012016,CMY178-37C,1,71,cell1,8,9,c,,
exp012016,CMY178-37C,1,72,cell1,2,2,c,,
exp012016,CMY178-37C,1,73,cell1,4,8,c,,
exp012016,CMY178-37C,1,74,cell1,1,1,n,,
exp012016,CMY178-37C,1,74,cell2,1,6,c,,
exp012016,CMY178-37C,1,75,cell1,1,1,n,,
exp012016,CMY178-37C,1,76,cell1,2,4,c,,
exp012016,CMY178-37C,1,77,cell1,9,13,c,,
exp012016,CMY178-37C,1,78,cell1,4,5,c,,
exp012016,CMY178-37C,1,79,cell1,10,12,c,,
exp012016,CMY178-37C,1,79,cell2,1,1,n,,
exp012016,CMY178-37C,1,80,cell1,4,8,c,,
exp012016,CMY178-37C,1,81,cell1,2,3,n,,
exp012016,CMY178-37C,1,82,cell1,1,1,n,,
exp012016,CMY178-37C,1,83,cell1,6,8,n,,
exp012016,CMY178-37C,1,84,cell1,11,13,n,,
exp012016,CMY178-37C,1,84,cell2,1,1,c,,
exp012016,CMY178-37C,1,85,cell1,1,1,n,,
exp012016,CMY178-37C,1,86,cell1,1,1,n,,
exp012016,CMY178-37C,1,87,cell1,1,1,n,,
exp012016,CMY178-37C,1,88,cell1,1,1,n,,
exp012016,CMY178-37C,1,89,cell1,8,12,c,,
exp012016,CMY178-37C,1,90,cell1,1,1,n,,
exp012016,CMY178-37C,1,91,cell1,2,2,c,,
exp012016,CMY178-37C,1,92,cell1,4,4,c,,
exp012016,CMY178-37C,1,92,cell2,1,1,c,,
exp012016,CMY178-37C,1,93,cell1,2,4,c,,
exp012016,CMY178-37C,1,94,cell1,1,1,n,,
exp012016,CMY178-37C,1,94,cell2,1,1,n,,
exp012016,CMY178-37C,1,95,cell1,4,8,c,,
exp012016,CMY178-37C,1,96,cell1,7,11,c,,
exp012016,CMY178-37C,1,97,cell1,3,3,c,,
exp012016,CMY178-37C,1,98,cell1,12,19,c,,
exp012016,CMY178-37C,1,99,cell1,4,8,c,,
exp012016,CMY178-37C,1,99,cell2,1,1,n,,
exp012016,CMY178-37C,1,100,cell1,1,1,n,,
exp012016,CMY178-37C,1,101,cell1,3,7,n,,
exp012016,CMY178-37C,1,101,cell2,1,1,n,,
exp012016,CMY178-37C,1,102,cell1,2,8,c,,
exp012016,CMY178-37C,1,102,cell2,1,1,n,,
exp012016,CMY178-37C,1,103,cell1,9,11,c,,
exp012016,CMY178-37C,1,104,cell1,1,1,n,,
exp012016,CMY178-37C,1,105,cell1,10,13,c,,
exp012016,CMY178-37C,1,106,cell1,7,8,tc,,
exp012016,CMY178-37C,1,106,cell2,2,3,c,,
exp012016,CMY178-37C,1,107,cell1,1,1,n,,
exp012016,CMY178-37C,1,108,cell1,1,1,c,,
exp012016,CMY178-37C,1,109,cell1,1,1,n,,
exp012016,CMY178-37C,1,109,cell2,1,1,n,,
exp012016,CMY178-37C,1,110,cell1,1,1,n,,
exp012016,CMY178-37C,1,111,cell1,4,5,c,,
exp012016,CMY178-37C,1,112,cell1,5,5,c,,
exp012016,CMY178-37C,1,112,cell2,1,1,n,,
exp012016,CMY178-37C,1,112,cell3,1,2,c,,
exp012016,CMY178-37C,1,113,cell1,1,1,n,,
exp012016,CMY178-37C,1,114,cell1,2,4,c,,
exp012016,CMY178-37C,1,115,cell1,1,1,c,,
exp012016,CMY178-37C,1,116,cell1,1,1,n,,
exp012016,CMY178-37C,1,117,cell1,6,11,c,,
exp012016,CMY178-37C,1,118,cell1,1,4,c,,
exp012016,CMY178-37C,1,118,cell2,1,1,n,,
exp012016,CMY178-37C,1,119,cell1,1,1,n,,
exp012016,CMY178-37C,1,120,cell1,2,3,c,,
exp012016,CMY178-37C,1,120,cell2,1,1,n,,
exp012016,CMY178-37C,1,121,cell1,4,6,c,,
exp012016,CMY178-37C,1,122,cell1,1,1,c,,
exp012016,CMY178-37C,1,123,cell1,1,1,c,,
exp012016,CMY178-37C,1,124,cell1,1,1,c,,
exp012016,CMY178-37C,1,124,cell2,1,4,c,,
exp012016,CMY178-37C,1,125,cell1,4,8,c,,
exp012016,CMY178-37C,1,126,cell1,1,1,c,,
exp012016,CMY178-37C,1,127,cell1,2,8,c,,
exp012016,CMY178-37C,1,127,cell2,1,1,n,,
exp012016,CMY178-37C,1,127,cell3,4,6,c,,
exp012016,CMY178-37C,1,128,cell1,9,9,n,,
exp012016,CMY178-37C,1,128,cell2,1,1,c,,
exp012016,CMY178-37C,1,129,cell1,1,6,c,,
exp012016,CMY178-37C,1,130,cell1,11,15,n,,
exp012016,CMY178-37C,1,131,cell1,3,3,c,,
exp012016,CMY178-37C,1,132,cell1,8,13,c,,
exp012016,CMY178-37C,1,132,cell2,1,1,n,,
exp012016,CMY178-37C,1,133,cell1,1,1,n,,
exp012016,CMY178-37C,1,133,cell2,1,1,n,,
exp012016,CMY178-37C,1,134,cell1,1,1,n,,
exp012016,CMY178-37C,1,135,cell1,18,24,c,,
exp012016,CMY178-37C,1,136,cell1,12,18,c,,
exp012016,CMY178-37C,1,137,cell1,1,1,n,,
exp012016,CMY178-37C,1,138,cell1,1,1,n,,
exp012016,CMY178-37C,1,139,cell1,1,3,c,,
exp012016,CMY178-37C,1,140,cell1,6,11,c,,
exp012016,CMY178-37C,1,141,cell1,1,1,c,,
exp012016,CMY178-37C,1,142,cell1,5,6,n,,
exp012016,CMY178-37C,1,142,cell2,1,1,n,,
exp012016,CMY178-37C,1,143,cell1,8,9,c,,
exp012016,CMY178-37C,1,143,cell2,1,1,n,,
exp012016,CMY178-37C,1,144,cell1,1,1,n,,
exp012016,CMY178-37C,1,145,cell1,1,1,n,,
exp012016,CMY178-37C,1,146,cell1,1,1,n,,
exp012016,CMY178-37C,1,147,cell1,1,1,n,,
exp012016,CMY178-37C,1,147,cell2,1,1,n,,
exp012016,CMY178-37C,1,148,cell1,6,9,c,,
exp012016,CMY178-37C,1,148,cell2,1,1,n,,
exp012016,CMY178-37C,1,149,cell1,5,5,c,,
exp012016,CMY178-37C,1,150,cell1,1,1,n,,
